               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10673,            0.028085,                   0,             0.27366,            0.086957,            0.095713,            0.022442,            0.078995,            0.020543,                   0,            0.070789,           0.0032456,           0.0032456
                   1,            0.085473,            0.024713,                   0,             0.26325,             0.17391,             0.19667,            0.058942,            0.071925,              0.0141,                   0,            0.040724,           0.0065138,           0.0065138
                   2,            0.077182,            0.019483,                   0,            0.039055,             0.65217,            0.056048,            0.015519,             0.07367,            0.009873,                   0,            0.010593,            0.009716,            0.009716
                   3,            0.076893,               0.018,                   0,             0.48654,             0.19565,             0.42807,             0.16279,            0.063242,            0.010625,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.068955,            0.019212,                   0,             0.13952,             0.67391,             0.17154,            0.049241,            0.059744,           0.0096472,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.067959,            0.018903,                   0,             0.59172,             0.63013,             0.62179,             0.31298,            0.048987,           0.0092136,                   0,            0.009604,            0.009604,            0.009604
                   6,             0.06152,            0.016831,                   0,             0.55013,             0.56522,             0.57414,             0.18574,            0.048698,           0.0087159,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.057471,            0.016445,                   0,             0.54973,             0.58696,             0.62847,             0.27552,            0.044462,           0.0083052,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.054794,            0.017009,                   0,              0.8877,             0.68748,             0.84125,             0.41693,            0.037151,           0.0082011,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.052562,            0.015714,                   0,             0.83867,             0.79119,              0.8875,             0.47624,            0.038277,           0.0075827,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.053315,            0.014296,                   0,             0.92262,             0.84783,             0.92686,              0.5687,            0.034212,           0.0076086,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.051446,            0.015611,                   0,             0.90862,             0.86472,             0.91822,             0.57517,            0.031816,           0.0077545,                   0,             0.00901,             0.00901,             0.00901
                  12,             0.04527,            0.016062,                   0,             0.80214,             0.78261,             0.87024,             0.47849,            0.033798,           0.0072223,                   0,            0.008911,            0.008911,            0.008911
