               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.037423,            0.043431,           0.0042762,             0.72516,              0.6502,             0.77946,             0.42602,             0.02274,            0.014058,           0.0039871,             0.00307,             0.00307,             0.00307
                  37,            0.035095,            0.041448,           0.0039561,             0.70509,             0.67269,             0.71249,             0.39743,            0.022037,            0.014309,           0.0043883,            0.002872,            0.002872,            0.002872
                  38,            0.036535,            0.051177,           0.0036183,             0.67006,             0.74738,             0.74878,             0.38996,            0.022913,            0.015337,           0.0036774,            0.002674,            0.002674,            0.002674
                  39,            0.036156,            0.050798,           0.0034683,             0.73923,             0.65487,             0.73648,             0.39209,            0.021504,            0.014541,           0.0031661,            0.002476,            0.002476,            0.002476
                  40,            0.034713,            0.047167,           0.0034309,             0.68683,             0.72194,             0.77428,             0.40764,            0.021168,            0.013274,           0.0031902,            0.002278,            0.002278,            0.002278
                  41,            0.035434,            0.052302,            0.003106,             0.73196,             0.70044,             0.78745,              0.4095,            0.021349,              0.0134,           0.0039252,             0.00208,             0.00208,             0.00208
                  42,            0.034319,            0.048097,           0.0027627,              0.6845,             0.78776,             0.77628,             0.41489,            0.021613,             0.01341,           0.0040976,            0.001882,            0.001882,            0.001882
                  43,            0.033837,            0.045515,           0.0037274,             0.74393,             0.73518,             0.76469,              0.4061,            0.021907,            0.013516,           0.0033376,            0.001684,            0.001684,            0.001684
                  44,            0.036421,            0.047765,           0.0037289,             0.85096,             0.64278,             0.79536,             0.41368,            0.022807,            0.013662,           0.0028295,            0.001486,            0.001486,            0.001486
                  45,            0.033568,            0.050902,           0.0026315,             0.71006,             0.67794,             0.76517,             0.39855,            0.021124,            0.013826,           0.0031757,            0.001288,            0.001288,            0.001288
                  46,            0.034415,            0.044312,            0.002944,             0.80648,             0.67348,             0.78918,             0.42324,            0.021308,            0.013312,           0.0026975,             0.00109,             0.00109,             0.00109
                  47,            0.034165,            0.046362,           0.0031221,             0.84104,              0.6782,             0.80675,             0.43669,            0.020872,            0.013116,           0.0024805,            0.000892,            0.000892,            0.000892
                  48,            0.033532,            0.051213,           0.0036702,             0.84615,             0.67348,             0.81073,             0.44662,            0.021108,            0.012856,           0.0025105,            0.000694,            0.000694,            0.000694
                  49,             0.03328,            0.042401,           0.0024264,             0.86817,             0.69257,             0.83545,             0.45378,            0.020499,            0.012733,           0.0025775,            0.000496,            0.000496,            0.000496
