               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  11,            0.045334,            0.013697,                   0,               0.723,             0.71739,             0.79331,             0.46686,            0.028972,           0.0068684,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.045212,            0.014308,                   0,             0.70215,             0.71739,             0.80303,             0.28659,            0.036891,           0.0060655,                   0,            0.007822,            0.007822,            0.007822
                  13,             0.04127,            0.013338,                   0,             0.51793,             0.79418,             0.66234,             0.33334,            0.028537,             0.00599,                   0,            0.007624,            0.007624,            0.007624
                  14,             0.04532,            0.013281,                   0,             0.60556,             0.76769,             0.77573,             0.34592,            0.032566,            0.005469,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.043597,            0.011758,                   0,             0.49103,             0.79703,             0.70126,             0.48636,            0.028284,           0.0056497,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.040092,            0.012282,                   0,              0.6716,             0.84783,             0.83688,             0.39696,            0.033077,           0.0052032,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.041707,            0.010866,                   0,             0.65313,             0.69586,             0.75849,             0.42472,            0.031679,           0.0052362,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.037453,            0.010685,                   0,              0.8221,             0.76087,             0.86462,             0.51099,            0.027117,           0.0053053,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.038176,            0.012292,                   0,             0.83393,             0.87338,             0.91634,             0.57444,            0.023984,           0.0055063,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.037617,            0.011225,                   0,             0.89052,             0.88424,             0.93282,             0.55149,              0.0247,           0.0052176,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.034305,            0.009887,                   0,             0.89425,             0.91924,              0.9508,              0.6249,            0.027221,           0.0048952,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.036753,            0.011583,                   0,              0.8861,             0.93478,             0.94868,             0.65103,            0.021072,           0.0045584,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.032441,            0.010007,                   0,             0.83612,             0.99825,             0.91685,             0.61024,            0.023446,           0.0044001,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.034347,            0.010256,                   0,             0.89332,                   1,              0.9653,             0.51954,            0.023689,           0.0042365,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.032022,           0.0099207,                   0,             0.90129,             0.99256,             0.96811,             0.68219,            0.019213,           0.0042046,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.028342,           0.0094859,                   0,             0.90546,                   1,             0.97781,             0.65616,            0.021699,           0.0040772,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.032755,           0.0099337,                   0,             0.88433,                   1,             0.97604,             0.59674,             0.02202,            0.004147,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.029977,           0.0079952,                   0,             0.92729,                   1,             0.97644,             0.59274,            0.021531,           0.0039826,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.029463,            0.009217,                   0,             0.95604,                   1,             0.98345,             0.64057,            0.021028,           0.0039889,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.028764,            0.008512,                   0,             0.92955,                   1,             0.98875,             0.64984,            0.020623,           0.0040058,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.027682,           0.0090353,                   0,             0.93633,             0.95915,             0.98673,             0.69944,            0.017976,           0.0039597,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.030539,           0.0091479,                   0,                   1,             0.93448,              0.9902,             0.63498,            0.020337,           0.0038265,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.027381,           0.0084193,                   0,                   1,             0.93761,             0.99255,             0.69421,            0.018875,           0.0037414,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.024559,           0.0073413,                   0,              0.9525,                   1,             0.99167,             0.69549,            0.019747,           0.0037207,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.028148,           0.0092709,                   0,             0.95364,                   1,             0.99289,             0.69417,            0.017487,           0.0036075,                   0,            0.003268,            0.003268,            0.003268
                  36,             0.02587,           0.0078321,                   0,             0.95511,                   1,              0.9933,             0.73453,            0.016822,           0.0035901,                   0,             0.00307,             0.00307,             0.00307
                  37,             0.02573,            0.008718,                   0,              0.9851,             0.95652,             0.99373,             0.75662,             0.01644,           0.0035076,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.025852,           0.0074775,                   0,             0.97866,             0.99687,             0.99415,             0.75158,            0.017416,           0.0034171,                   0,            0.002674,            0.002674,            0.002674
                  39,             0.02549,           0.0075038,                   0,             0.95433,                   1,             0.99373,             0.69552,            0.018564,            0.003441,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.027217,           0.0081603,                   0,             0.99876,             0.97826,             0.99457,             0.71641,            0.017424,           0.0033972,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.024455,           0.0076001,                   0,                   1,             0.97308,             0.99457,             0.72665,            0.016545,           0.0034085,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.026436,           0.0078113,                   0,             0.97476,                   1,             0.99415,             0.74812,            0.014818,           0.0033834,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.024301,           0.0080184,                   0,                   1,             0.99302,               0.995,              0.7311,            0.015631,           0.0033756,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.025046,           0.0083239,                   0,                   1,             0.99074,               0.995,             0.74473,            0.015541,           0.0033592,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.022385,           0.0075736,                   0,                   1,             0.99537,               0.995,             0.74615,            0.014819,           0.0033253,                   0,            0.001288,            0.001288,            0.001288
                  46,             0.02493,           0.0079364,                   0,                   1,             0.99402,               0.995,             0.74508,            0.015764,           0.0033564,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.021955,           0.0071796,                   0,             0.99802,             0.97826,             0.99457,             0.72373,            0.015813,           0.0032667,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.024774,           0.0078712,                   0,             0.99861,             0.97826,             0.99457,             0.74504,            0.015581,           0.0032552,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.024364,           0.0077494,                   0,                   1,             0.99587,               0.995,             0.75876,            0.015193,           0.0032362,                   0,            0.000496,            0.000496,            0.000496
