               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096153,            0.028247,                   0,             0.64396,            0.086957,             0.12735,            0.033921,            0.066157,            0.020904,                   0,              0.0704,           0.0032889,           0.0032889
                   1,             0.08163,            0.023949,                   0,             0.10094,             0.17391,            0.061889,            0.012912,            0.070003,            0.013927,                   0,            0.040269,           0.0064911,           0.0064911
                   2,            0.071444,             0.02194,                   0,             0.25144,             0.63043,             0.21323,            0.050072,            0.068186,           0.0096151,                   0,            0.010006,           0.0095613,           0.0095613
                   3,            0.075205,            0.017606,                   0,             0.48136,             0.34312,             0.36469,              0.1107,            0.049847,           0.0089136,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.062443,            0.017071,                   0,             0.33504,             0.30435,             0.30888,              0.1021,            0.051115,           0.0082538,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.061678,            0.016661,                   0,             0.31658,             0.54348,             0.32643,            0.089868,            0.049657,           0.0077479,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.055608,            0.015771,                   0,             0.58416,             0.45652,             0.45871,             0.14854,            0.045397,           0.0076634,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.057417,            0.015489,                   0,             0.60846,             0.54059,             0.58247,             0.24418,            0.035205,           0.0084021,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.049866,            0.015029,                   0,             0.69479,             0.56522,             0.72025,             0.27858,            0.033569,           0.0079715,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.050221,            0.014989,                   0,             0.79008,             0.40923,             0.64125,             0.24714,            0.041347,           0.0075277,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.046935,            0.013828,                   0,             0.68629,             0.52174,             0.71281,             0.37146,            0.032133,           0.0069447,                   0,            0.008218,            0.008218,            0.008218
